exam code,description,duration,department code
B11101E1 ,FUNDAMENTALS OF HUMAN PHYSIOL & PHARM I  ,03:00:00,PI
B11102E1 ,INTRODUCTORY HUMAN PHYS & PHARM I        ,02:00:00,PI
B12301E1 ,NEUROCHEM & DEVELOPMENTAL NEUROSCIENCE   ,02:00:00,BC
B12302E1 ,CELL EXCITATION                          ,02:00:00,PI
B12303E1 ,BASIC MOLECULAR PHARMACOLOGY             ,02:00:00,PI
B12320E1 ,INTEGRATED NEUROPHYSIOLOGY               ,02:00:00,PY
B13103E1 ,NEROPEPTIDES: PAIN AND BEHAVIOUR         ,02:00:00,PY
B31101E1 ,PHARMACEUTICAL & BIOLOGICAL CHEMISTRY    ,02:00:00,PI
B31103E1 ,PHARMACEUTICAL PHYSICAL CHEMISTRY        ,02:00:00,PI
B31105E1 ,PHARMACEUTICAL MICROBIOLOGY 1            ,01:00:00,PI
B31107E1 ,PHYSIOLOGY & PHARMACOLOGY 1              ,02:00:00,PI
B32321E1 ,PHARMACEUTICAL MICROBIOLOGY 2            ,01:00:00,PI
B32322E1 ,BIOPHARMACEUTICS 1                       ,01:00:00,PI
B32325E1 ,PHYTOCHEMISTRY & MEDICINAL PLANTS        ,02:00:00,PI
B32326E1 ,MEDICINAL CHEM 1. BIO & MED. HETEROCYC.  ,01:00:00,PI
B32327E1 ,PHYSIOLOGY & PHARMACOLOGY 3              ,02:00:00,PI
B33541E1 ,MOLECULAR PHARMACOLOGY                   ,01:00:00,PI
B33544E1 ,MEDICINAL CHEMISTRY 3                    ,01:00:00,PI
B33545E1 ,ADVANCED DRUG DELIVERY PHYSIOL & ROUTES  ,02:00:00,PI
B33548E1 ,PHARMACY PRACTICE                        ,01:00:00,PI
B33549E1 ,CLINICAL PHARMACY & THERAPEUTICS 1       ,02:00:00,PI
B33563E1 ,DRUG DISCOVERY AND DEVELOPMENT           ,01:00:00,PI
C11101E1 ,ANIMAL FORM AND FUNCTION                 ,02:00:00,LE
C11105E1 ,MICROBIOLOGY                             ,02:00:00,MB
C12321E1 ,ANIMAL BEHAVIOUR                         ,02:00:00,LE
C12324E1 ,PARASITOLOGY                             ,02:00:00,LE
C12325E1 ,CANCER BIOLOGY                           ,01:30:00,PA
C12327E1 ,CONSERVATION BIOLOGY & BIOGEOGRAPHY      ,02:00:00,LE
C12328E1 ,INSECTS & AGRICULTURE                    ,01:30:00,LE
C12329E1 ,NEUROBIOLOGY                             ,01:30:00,LE
C12331E1 ,GENE MANIPULATION                        ,01:30:00,LE
C12332E1 ,ENVIRONMENTAL MICROBIOLOGY               ,03:00:00,LE
C12333E1 ,GENETICS OF CROP PLANTS                  ,01:30:00,LE
C12338E1 ,ECOLOGY                                  ,02:00:00,LE
C13562E1 ,PARASITE IMMUNOLOGY                      ,03:00:00,LE
C13563E1 ,MOLECULAR & CELLULAR NEUROBIOLOGY        ,03:00:00,LE
C13564E1 ,ECOTOXICOLOGY                            ,03:00:00,LE
C13565E1 ,EVOLUTION & BEHAVIOUR                    ,03:00:00,LE
C13567E1 ,APPLIED MICROBIOLOGY                     ,03:00:00,LE
C13569E1 ,FUNDAMENTAL & APP ASPS OF PLNT GEN MAN   ,03:00:00,LE
C13571E1 ,MOLECULAR BIOLOGY OF ION CHANNELS        ,01:30:00,LE
