SID,exam code
A918765536,C81IAAE1
A928054127,C82CUAE1
A928203459,C81ICAE1
A935221303,C82OUAE1
A935221303,C82SUAE1
A935845741,C81IDAE1
A935957273,C81IDAE1
A936123789,C81IDAE1
A936363938,C81IDAE1
A936400222,C81ICAE1
A936400222,C81IDAE1
A936692702,C81IBAE1
A937584732,C81IDAE1
A940001316,C81IBAE1
A940012633,C81ICAE1
A940013010,C81ICAE1
A940013227,C81IBAE1
A940014523,C81J5AE1
A940014523,C81J5AE2
A940014534,C81ICAE1
A940016424,C81ICAE1
A940018831,B11101E1
A940021163,C81IDAE1
A940021635,C81IDAE1
A940022285,C81HAAE1
A940022595,C81J3AE1
A940022595,C81J3AE2
A940024935,C81IDAE1
A940025161,C81IDAE1
A940026445,C81J2AE1
A940026445,C81J2AE2
A940026951,C81ICAE1
A940027268,C81IAAE1
A940029239,C81IBAE1
A940029239,C81IDAE1
A940029974,C81IDAE1
A940031287,C81J2AE1
A940031287,C81J2AE2
A940033292,C81J2AE1
A940033292,C81J2AE2
A940034646,C81J2AE1
A940034646,C81J2AE2
A940042685,C81HDAE1
A940042722,C81J3AE1
A940042722,C81J3AE2
A940042733,C12321E1
A940042744,C12327E1
A940042744,C12338E1
A940042777,C41101E1
A940042799,C12327E1
A940042803,C41101E1
A940051702,C81HCAE1
A940051702,C82SUAE1
A940051713,C81HCAE1
A940051735,C81HCAE1
A940051735,C82SUAE1
A940051768,C82SUAE1
A945073318,C81J4AE1
A945073318,C81J4AE2
A945311483,C81J3AE1
A945311483,C81J3AE2
A946008014,C81J5AE1
A946008014,C81J5AE2
A946612110,C81J5AE1
A946612110,C81J5AE2
A947571175,C81IAAE1
B903280576,C8COUAE1
B913459401,C8CXCHE1
B913459401,C8CXPAE1
B916343707,C83XWHE1
B916343707,C8CXCHE1
B916366061,C8COUAE1
B916366061,C8CXCEE1
B916366061,C8CXPAE1
B916511074,C83XWHE1
B916511074,C8CXCHE1
B917299418,C8COUAE1
B917299418,C8CXCHE1
B917546138,C82BUAE1
B917753024,C83XWHE1
B917753024,C8CXCHE1
B920034103,C82BUAE1
B920046081,C82BUAE1
B920046081,C82CUAE1
B920046081,C82MHAE1
B920095377,C83XWHE1
B920095377,C8COUAE1
B920095377,C8CXPAE1
B920099858,C8CXPAE1
B920221943,C8CXDLE1
B920319963,C83XWHE1
B920319963,C8CXCHE1
B920786372,C8CXCHE1
B920786372,C8CXDLE1
B920835452,C8COUAE1
B920846023,C8COUAE1
B920846023,C8CXPAE1
B920987256,C8COUAE1
B920987256,C8CXPAE1
B921009919,C83XWHE1
B921009919,C8COUAE1
B921059176,C82MJAE1
B921152167,C81HDAE1
B921272041,C83XWHE1
B921313160,C83XWHE1
B921313160,C8CXCHE1
B921457811,C8CXCHE1
B921457811,C8CXPAE1
B921496315,C83XWHE1
B921496315,C8CXCHE1
B921645795,C83XWHE1
B921645795,C8COUAE1
B921667719,C8COUAE1
B921667719,C8CXCHE1
B921667719,C8CXDLE1
B921759667,C8COUAE1
B921759667,C8CXCHE1
B921759667,C8CXPAE1
B922092154,C83XWHE1
B922092154,C8COUAE1
B922092154,C8CXPAE1
B922115899,C83XWHE1
B922115899,C8CXCHE1
B922424034,C83XWHE1
B922525113,C83XWHE1
B922858893,C83XWHE1
B922858893,C8COUAE1
B922858893,C8CXPAE1
B923172275,C8COUAE1
B923172275,C8CXPAE1
B926257490,C8COUAE1
B926326590,C8COUAE1
B926326590,C8CXCHE1
B926348374,C83XWHE1
B926348374,C8COUAE1
B926348374,C8CXCHE1
B926430990,C83XWHE1
B926430990,C8CXCHE1
B926430990,C8CXPAE1
B926791260,C83XWHE1
B926791260,C8COUAE1
B930214610,C81ICAE1
B930433635,C81MSAE1
B930444099,C82CUAE1
B930444099,C82MJAE1
B930509594,C82BUAE1
B930509594,C82CUAE1
B930509594,C82MHAE1
B930521725,C82BUAE1
B930521725,C82CUAE1
B930521725,C82MHAE1
B930796507,C82BUAE1
B930796507,C82MJAE1
B930940742,C82BUAE1
B930940742,C82CUAE1
B930940742,C82MHAE1
B931004520,C82BUAE1
B931004520,C82CUAE1
B931004520,C82MHAE1
B931575237,C82MJAE1
B931916843,C82BUAE1
B931916843,C82CUAE1
B931916843,C82MHAE1
B935038354,C82BUAE1
B935038354,C82CUAE1
B935038354,C82MHAE1
B935040818,C82BUAE1
B935040818,C82CUAE1
B935040818,C82MHAE1
B935090684,C82BUAE1
B935090684,C82CUAE1
B935090684,C82MHAE1
B935149890,C82BUAE1
B935149890,C82CUAE1
B935149890,C82MHAE1
B935177837,C81IBAE1
B935185603,C82BUAE1
B935185603,C82CUAE1
B935185603,C82MHAE1
B935252880,C81ICAE1
B935254138,C82BUAE1
B935254138,C82MJAE1
B935268087,C81IBAE1
B935308017,C82BUAE1
B935308017,C82CUAE1
B935308017,C82MHAE1
B935347418,C82BUAE1
B935347418,C82CUAE1
B935347418,C82MHAE1
B935382899,C82BUAE1
B935382899,C82CUAE1
B935382899,C82MHAE1
B935387447,C82BUAE1
B935387447,C82CUAE1
B935387447,C82MHAE1
B935404445,C82BUAE1
B935404445,C82CUAE1
B935404445,C82MHAE1
B935439595,C82BUAE1
B935439595,C82CUAE1
B935439595,C82MHAE1
B935474150,C82BUAE1
B935474150,C82CUAE1
B935474150,C82MHAE1
B935483473,C82BUAE1
B935483473,C82CUAE1
B935483473,C82MHAE1
B935523908,C81IBAE1
B935534339,C82BUAE1
B935534339,C82CUAE1
B935534339,C82MHAE1
B935557970,C82BUAE1
B935557970,C82CUAE1
B935557970,C82MHAE1
B935568334,C82BUAE1
B935568334,C82CUAE1
B935568334,C82MHAE1
B935600003,C82BUAE1
B935600003,C82CUAE1
B935600003,C82MHAE1
B935617539,C82BUAE1
B935617539,C82CUAE1
B935617539,C82MHAE1
B935668405,C82BUAE1
B935668405,C82CUAE1
B935668405,C82MHAE1
B935676743,C82BUAE1
B935676743,C82CUAE1
B935676743,C82MHAE1
B935696992,C82BUAE1
B935696992,C82CUAE1
B935696992,C82MHAE1
B935702477,C82BUAE1
B935702477,C82CUAE1
B935702477,C82MHAE1
B935765760,C82BUAE1
B935765760,C82CUAE1
B935765760,C82MHAE1
B935783926,C82BUAE1
B935783926,C82CUAE1
B935783926,C82MHAE1
B935973022,C82BUAE1
B935973022,C82CUAE1
B935973022,C82MHAE1
B936003528,C82MCPE1
B936003528,C82MJAE1
B936005717,C82MJAE1
B936213002,C82MJAE1
B936241186,C82BUAE1
B936241186,C82CUAE1
B936241186,C82MHAE1
B936278757,C82BUAE1
B936278757,C82CUAE1
B936278757,C82MHAE1
B936332299,C82BUAE1
B936332299,C82CUAE1
B936332299,C82MHAE1
B936469551,C82HUAE1
B936559944,C82OUAE1
B936758156,C82MJAE1
B936935045,C82CUAE1
B936935045,C82MJAE1
B936975063,C82BUAE1
B936975063,C82CUAE1
B936975063,C82MHAE1
B937239371,C82BUAE1
B937239371,C82CUAE1
B937239371,C82MHAE1
B937254433,C82MJAE1
B937347997,C82BUAE1
B937347997,C82CUAE1
B937347997,C82MHAE1
B937401211,C82MJAE1
B937444492,C82BUAE1
B937444492,C82CUAE1
